iter	Logloss
323	0.1033801249
324	0.1029125853
325	0.1024903952
326	0.1019794872
327	0.1014743375
328	0.1010014584
329	0.1004986416
330	0.1000958103
331	0.09965629693
332	0.09922900139
333	0.09876260771
334	0.09842272872
335	0.09802622493
336	0.09752135282
337	0.09713958425
338	0.09680840621
339	0.0962913544
340	0.09587467175
341	0.09551372765
342	0.09502690264
343	0.09461863477
344	0.09432696556
345	0.09391143094
346	0.09349946003
347	0.09309620314
348	0.09270807402
349	0.0923813592
350	0.09201619343
351	0.09168293698
352	0.09128155411
353	0.0909428968
354	0.09063708063
355	0.09025336657
356	0.08987228965
357	0.08939555924
358	0.08906208752
359	0.08874928703
360	0.0884120764
361	0.08804547265
362	0.08769841452
363	0.08729576845
364	0.0869783312
365	0.08657902566
366	0.08625236768
367	0.08587440212
368	0.08554181493
369	0.08517126292
370	0.08483430613
371	0.08445151461
372	0.08412793566
373	0.08383885766
374	0.0835107667
375	0.08321986811
376	0.0829618112
377	0.08261081778
378	0.08227248514
379	0.08196548208
380	0.08160673221
381	0.08128173113
382	0.08098580375
383	0.0807165664
384	0.08049364953
385	0.08018688713
386	0.07988468338
387	0.07954869232
388	0.07919611255
389	0.07882863784
390	0.07853754873
391	0.07820811318
392	0.07793386545
393	0.0775376951
394	0.0772043213
395	0.07688444521
396	0.07658075313
397	0.07632036002
398	0.07604708437
399	0.07577764612
400	0.07551910099
401	0.07521806509
402	0.07489516501
403	0.07459108135
404	0.07440142505
405	0.07405820856
406	0.07370691876
407	0.07346053499
408	0.07322042061
